scoring_3rd,scoring_4th,pace,efg_per,tov_per,orb_per,result
21.0,22.0,96.9,0.476,11.8,25.0,0
32.0,25.0,96.9,0.551,15.2,17.6,1
21.0,28.0,89.8,0.495,7.6,20.8,1
22.0,23.0,89.8,0.512,11.8,31.6,0
27.0,23.0,87.7,0.5,15.2,27.0,1
28.0,22.0,87.7,0.394,9.4,28.6,0
39.0,25.0,89.7,0.513,10.0,23.7,1
23.0,36.0,89.7,0.481,15.5,36.6,0
14.0,28.0,86.6,0.468,10.1,21.4,0
31.0,20.0,86.6,0.506,12.8,31.7,1
26.0,22.0,101.5,0.435,19.2,22.9,0
23.0,29.0,101.5,0.533,14.6,28.6,1
30.0,26.0,89.6,0.544,9.1,20.9,1
16.0,23.0,89.6,0.453,11.4,24.5,0
29.0,24.0,97.7,0.442,10.1,21.3,0
23.0,29.0,97.7,0.5,13.4,25.0,1
18.0,23.0,97.4,0.446,10.2,17.0,0
